"목록 버전","목록 성격","탐색 조건","ID","분류","검토 항목","관련 업종 예시","작업 조건","인원별 우선 검토 구간","적용 확인 조건","확인 질문","증빙 예시","조사 위치","공식 원문","확인한 출처 경로","출처 확인 범위","출처 확인일","검토 상태","검토자","검토일","검토 의견"
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-001","기본·관리체계","업종·사업장·실제 작업 분류","전 업종 공통 검토 후보","","미확인 · 0명","모든 후보 검토의 출발점. 등록 업태와 실제 활동, 사업/사업장 단위가 다를 수 있음.","주업·부업·현장 작업과 한국표준산업분류를 대조했는가?
본사·지점·현장이 독립된 사업장인지 확인했는가?","등록정보 확인표
공정·조직·현장 목록","법 제3조·시행령 적용범위 및 별표 조사","https://www.law.go.kr/법령/산업안전보건법
https://www.law.go.kr/법령/산업안전보건법시행령","https://law.go.kr/LSW/lsInfoP.do?ancYnChk=0&lsId=001766
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288347&efYd=20260801","산업안전보건법: 발췌 확인 · 교육·위험성평가·안전보건조치·고객응대 관련 검색 발췌 확인. 조문 전체·부칙·적용 예외 대조는 미완료.
산업안전보건법 시행령: 서지 확인 · 2026-08-01 시행본 서지 확인. 선임·교육 적용 제외·별표 전체는 본문 대조 대기.","산업안전보건법: 2026-09-15
산업안전보건법 시행령: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-002","기본·관리체계","법령별 인원 산정과 고용관계","전 업종 공통 검토 후보","도급·혼재작업","미확인 · 0명 · 1~4명 · 5~9명","입력 인원은 법령별 상시근로자 수의 확정값이 아님.","직접고용·기간제·단시간·일용·파견·수급인·노무제공자를 구분했는가?
산정 기간·포함 범위·합산 단위와 기준일을 남겼는가?","개인정보를 최소화한 인원 산정표
고용·계약 관계표","각 의무별 정의·산정 단위 대조 필요","https://www.law.go.kr/법령/산업안전보건법시행령
https://www.law.go.kr/법령/중대재해처벌등에관한법률
https://www.law.go.kr/법령/산업안전보건법시행령/제96조의2","https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288347&efYd=20260801
https://moel.go.kr/news/enews/explain/enewsView.do?news_seq=16128
https://www.kosha.or.kr/ebook/fcatalog/access/ecatalogt.jsp?Dir=528&callmode=normal&catimage=&eclang=ko&start=20&um=s","산업안전보건법 시행령: 서지 확인 · 2026-08-01 시행본 서지 확인. 선임·교육 적용 제외·별표 전체는 본문 대조 대기.
중대재해 처벌 등에 관한 법률: 발췌 확인 · 고용노동부의 5~50명 미만 확대 적용 설명 확인. 법령별 산정·책임·중대시민재해와 시행령 대조 대기.
휴게시설 설치·관리 기준 안내: 발췌 확인 · 공단 자료의 인원·특정 직종·관계수급인 포함 안내 발췌 확인. 설치 의무와 제재 대상의 구별 및 현행 원문 대조 대기.","산업안전보건법 시행령: 2026-09-15
중대재해 처벌 등에 관한 법률: 2026-09-15
휴게시설 설치·관리 기준 안내: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-003","기본·관리체계","위험성평가와 개선 추적","전 업종 공통 검토 후보","","인원만으로 제외하지 않음","실제 작업 위험과 적용범위·평가 방법을 확인.","작업자 의견과 사고·변경 사항에서 위험을 찾았는가?
개선 담당·기한·결과를 연결하고 작업자에게 알렸는가?","위험성평가 기록
개선 전후 증빙","법 제36조·위험성평가 지침 조사","https://www.law.go.kr/법령/산업안전보건법
https://www.law.go.kr/행정규칙/사업장위험성평가에관한지침","https://law.go.kr/LSW/lsInfoP.do?ancYnChk=0&lsId=001766
https://www.law.go.kr/LSW/admRulInfoP.do?admRulSeq=2100000251014&chrClsCd=010202&lsId=2052906","산업안전보건법: 발췌 확인 · 교육·위험성평가·안전보건조치·고객응대 관련 검색 발췌 확인. 조문 전체·부칙·적용 예외 대조는 미완료.
사업장 위험성평가에 관한 지침: 발췌 확인 · 평가 방법·기록 관련 발췌 확인. 현행 시행본·최초/정기/수시/상시평가 조건 대조 대기.","산업안전보건법: 2026-09-15
사업장 위험성평가에 관한 지침: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-004","기본·관리체계","중대산업재해 안전보건관리체계","전 업종 공통 검토 후보","도급·혼재작업","1~4명 · 5~9명 · 10~19명 · 20~49명 · 50~99명 · 100~299명 · 300~499명 · 500명 이상","상시근로자 산정·사업 단위·경영책임자·실질적 지배 관계 확인. 중대시민재해는 별도.","목표·인력·예산·위험 개선 절차의 실제 운영을 확인했는가?
종사자 의견·도급 평가·비상 대응·이행점검을 연결했는가?","관리체계 운영 기록
예산 집행·이행점검 자료","법 제3~5조 및 시행령 의무별 조사","https://www.law.go.kr/법령/중대재해처벌등에관한법률","https://moel.go.kr/news/enews/explain/enewsView.do?news_seq=16128","중대재해 처벌 등에 관한 법률: 발췌 확인 · 고용노동부의 5~50명 미만 확대 적용 설명 확인. 법령별 산정·책임·중대시민재해와 시행령 대조 대기.","중대재해 처벌 등에 관한 법률: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-005","기본·관리체계","안전보건관리규정","전 업종 공통 검토 후보","","50~99명 · 100~299명 · 300~499명 · 500명 이상","사업 종류·인원별 작성 대상과 적용 제외를 별도로 대조.","작성 대상과 포함할 내용을 확인했는가?
근로자 참여·심의 또는 동의 절차와 변경 이력이 있는가?","관리규정 버전
제정·변경 절차 기록","법 제25~28조·시행규칙 관련 별표 조사","https://www.law.go.kr/법령/산업안전보건법
https://www.law.go.kr/법령/산업안전보건법시행규칙","https://law.go.kr/LSW/lsInfoP.do?ancYnChk=0&lsId=001766
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288431&efYd=20260801","산업안전보건법: 발췌 확인 · 교육·위험성평가·안전보건조치·고객응대 관련 검색 발췌 확인. 조문 전체·부칙·적용 예외 대조는 미완료.
산업안전보건법 시행규칙: 서지 확인 · 2026-08-01 시행본 서지 확인. 별표 4·5의 현행 교육시간·내용과 예외는 대조 대기.","산업안전보건법: 2026-09-15
산업안전보건법 시행규칙: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-006","기본·관리체계","대표이사 안전보건계획·이사회 보고","전 업종 공통 검토 후보","","500명 이상","회사 형태·회사 전체 인원·건설회사 별도 조건을 확인. 사업장 인원만으로 판단하지 않음.","보고·승인 대상 회사인지 확인했는가?
실제 예산·인력·시설 계획과 승인·이행 기록이 있는가?","안전보건계획
이사회 의사록·이행 기록","법 제14조·시행령 제13조 조사","https://www.law.go.kr/법령/산업안전보건법/제14조
https://www.law.go.kr/법령/산업안전보건법시행령","https://www.law.go.kr/LSW/cgmExpcInfoP.do?cgmExpcDatSeq=30216&mode=2&ofiClsCd=350101
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288347&efYd=20260801","이사회 보고 대상·회사 단위 해석: 발췌 확인 · 고용노동부 1차 해석의 주식회사·회사 전체 인원 구별 확인. 개별 회사 적용과 현행 시행령 요건은 재검토 필요.
산업안전보건법 시행령: 서지 확인 · 2026-08-01 시행본 서지 확인. 선임·교육 적용 제외·별표 전체는 본문 대조 대기.","이사회 보고 대상·회사 단위 해석: 2026-09-15
산업안전보건법 시행령: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-007","기본·관리체계","법령 게시·안전보건표지·변경관리","전 업종 공통 검토 후보","","인원만으로 제외하지 않음","현장 언어·위험·적용 법령과 변경 시점을 확인.","작업자가 필요한 내용과 표지를 이해할 수 있는가?
설비·물질·도급·인원 변경 시 검토 항목을 갱신하는가?","게시·표지 확인 사진
변경 검토 기록","법령 요지 게시·표지 관련 조문 및 적용범위 대조 대기","https://www.law.go.kr/법령/산업안전보건법
https://www.law.go.kr/법령/산업안전보건법시행규칙","https://law.go.kr/LSW/lsInfoP.do?ancYnChk=0&lsId=001766
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288431&efYd=20260801","산업안전보건법: 발췌 확인 · 교육·위험성평가·안전보건조치·고객응대 관련 검색 발췌 확인. 조문 전체·부칙·적용 예외 대조는 미완료.
산업안전보건법 시행규칙: 서지 확인 · 2026-08-01 시행본 서지 확인. 별표 4·5의 현행 교육시간·내용과 예외는 대조 대기.","산업안전보건법: 2026-09-15
산업안전보건법 시행규칙: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-008","선임·조직","안전보건관리책임자","전 업종 공통 검토 후보","","50~99명 · 100~299명 · 300~499명 · 500명 이상","업종·사업장 규모 또는 공사 기준·실질 총괄권한 확인.","관련 대상 표와 실제 총괄 책임자를 대조했는가?
선임 사실·직무·권한·교육 이력을 확인했는가?","선임·직무 문서
교육 이력","법 제15조·시행령 대상 사업 별표 조사","https://www.law.go.kr/법령/산업안전보건법
https://www.law.go.kr/법령/산업안전보건법시행령","https://law.go.kr/LSW/lsInfoP.do?ancYnChk=0&lsId=001766
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288347&efYd=20260801","산업안전보건법: 발췌 확인 · 교육·위험성평가·안전보건조치·고객응대 관련 검색 발췌 확인. 조문 전체·부칙·적용 예외 대조는 미완료.
산업안전보건법 시행령: 서지 확인 · 2026-08-01 시행본 서지 확인. 선임·교육 적용 제외·별표 전체는 본문 대조 대기.","산업안전보건법: 2026-09-15
산업안전보건법 시행령: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-009","선임·조직","관리감독자 지정·현장 업무","전 업종 공통 검토 후보","","인원만으로 제외하지 않음","직책명보다 작업을 직접 지휘·감독하는 실제 역할 및 적용 제외 확인.","작업별 지휘·감독자를 확인했는가?
작업 전 확인·문제 보고·교육의 실제 기록이 있는가?","역할 배정표
업무·교육 기록","법 제16조·시행령 업무 범위 조사","https://www.law.go.kr/법령/산업안전보건법
https://www.law.go.kr/법령/산업안전보건법시행령","https://law.go.kr/LSW/lsInfoP.do?ancYnChk=0&lsId=001766
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288347&efYd=20260801","산업안전보건법: 발췌 확인 · 교육·위험성평가·안전보건조치·고객응대 관련 검색 발췌 확인. 조문 전체·부칙·적용 예외 대조는 미완료.
산업안전보건법 시행령: 서지 확인 · 2026-08-01 시행본 서지 확인. 선임·교육 적용 제외·별표 전체는 본문 대조 대기.","산업안전보건법: 2026-09-15
산업안전보건법 시행령: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-010","선임·조직","안전관리자 선임·자격·전담","전 업종 공통 검토 후보","","50~99명 · 100~299명 · 300~499명 · 500명 이상","업종별 인원·공사금액·선임 수·자격·전담·위탁 조건을 각각 확인.","대상 표·자격·필요 인원을 대조했는가?
전담·위탁·선임 보고와 업무 수행 근거가 있는가?","선임·자격·위탁 자료
업무·보고 기록","법 제17조·시행령 안전관리자 관련 별표 조사","https://www.law.go.kr/법령/산업안전보건법
https://www.law.go.kr/법령/산업안전보건법시행령","https://law.go.kr/LSW/lsInfoP.do?ancYnChk=0&lsId=001766
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288347&efYd=20260801","산업안전보건법: 발췌 확인 · 교육·위험성평가·안전보건조치·고객응대 관련 검색 발췌 확인. 조문 전체·부칙·적용 예외 대조는 미완료.
산업안전보건법 시행령: 서지 확인 · 2026-08-01 시행본 서지 확인. 선임·교육 적용 제외·별표 전체는 본문 대조 대기.","산업안전보건법: 2026-09-15
산업안전보건법 시행령: 2026-09-15","적용 여부·전문 검토 대기","","",""
